nombre_incorrecto,id_canonico,nombre_canonico
"Mena Sara",142156,"Сара Мена"
"Zafirovska Angela",129097,"Ангела Зафироска"
"Shakiri Brikena",136518,"Брикена Шаќири"
"Jahji Anida",128982,"Анида Идризи"
"Dervishi Suarta",114987,"Суарта Дервиши"
"Dimitrioska Sara Slobodanka",139441,"Сара Димитриоски"
"Dimitrioska Melisa Milica",139442,"Мелиса Димитриоски"
"Iljaz Sevim",143392,"Севим Илјаз"
"Paneska Biljana",129109,"Билјана Панеска"
