original,corregido
"Д-Р Магдалена Манасиева","Д-р Манасиева Магдалена"
"Д-Р Оливер Манасиев","Д-р Манасиев Оливер"
"Данев Д-Р Душан","Д-р Данев Душан"
"Др Гудев Милан","Д-р Гудев Милан"
"Др Милан Гудев","Д-р Гудев Милан"
"Др. Валаски Зоран","Д-р Валаски Зоран"
"Др. Гудев Милан","Д-р Гудев Милан"
"Др. Танчевски Крсте","Д-р Танчевски Крсте"
"Душан Д-Р Данев","Д-р Данев Душан"
"Емилија Ѓоргиева Чанева","Ѓоргиева Чанева Емилија"
"Емилија Ѓорѓиева Чанева","Ѓорѓиева Чанева Емилија"
"Зоран Златковски Ивелина Златковска","Златковски Зоран"
"Илија Поп Костов","Поп Костов Илија"
"Јанкуловски Александар","Јанкуловски Александар"
"Касамовска Ана Марија","Марија Касамовска Ана"
"Манасиев Д-Р Оливер","Д-р Манасиев Оливер"
"Ристески Благојче,Руменоска Магдалена","Ристески Благојче"
"Гонзалес Руеда Катерине Мишел","Гонзалес Катерин"
"Гхоуанси Тчуиссе Мичелле","Чуис Мишел"
"Ѓеоргиевски Љупчо","Ѓорѓиевски Љупчо"
"Ѓоргиевски Љубчо","Ѓорѓиевски Љупчо"
"Ѓоргиевски Љупчо","Ѓорѓиевски Љупчо"
"Ѓорѓиевски Лупчо","Ѓорѓиевски Љупчо"
"Љубчо Ѓоргиевски","Ѓорѓиевски Љупчо"
"Љупчо Ѓорѓиевски","Ѓорѓиевски Љупчо"
"Љупчо Ѓоргиевски","Ѓорѓиевски Љупчо"
"Љупчо Ѓеоргиевски","Ѓорѓиевски Љупчо"
"Георгиевски Љубчо","Ѓорѓиевски Љупчо"
"Горгиевски Љубчо","Ѓорѓиевски Љупчо"
"Горгиевски Љупчо","Ѓорѓиевски Љупчо"
"Горгиевски Лупче","Ѓорѓиевски Љупчо"
"Горгиевски Лупчо","Ѓорѓиевски Љупчо"
"Симе Бендевски, Љупчо Ѓорѓиевски","Ѓорѓиевски Љупчо"
"Ѓоргиевки Злате","Ѓорѓиевски Злате"
"Ѓоргиевски Залате","Ѓорѓиевски Злате"
"Ѓоргиевски Злате","Ѓорѓиевски Злате"
"Ѓоргиевски Златке","Ѓорѓиевски Злате"
"Ѓоргиевски Златко","Ѓорѓиевски Злате"
"Ѓоргиевски Златтко","Ѓорѓиевски Злате"
"Ѓоргиовски Злате","Ѓорѓиевски Злате"
"Ѓорѓиевски Златко","Ѓорѓиевски Злате"
"Гогиевски Злате","Ѓорѓиевски Злате"
"Горгиевски Злате","Ѓорѓиевски Злате"
"Горгиевски Златко","Ѓорѓиевски Злате"
"Злате Ѓорѓиевски","Ѓорѓиевски Злате"
"Злате Ѓорќиевски","Ѓорѓиевски Злате"
"Златеѓоргиевски","Ѓорѓиевски Злате"
"Златко Ѓоргиевски","Ѓорѓиевски Злате"
"Златко Ѓорѓиевски","Ѓорѓиевски Злате"
"Горгиевски Томе","Ѓорѓиевски Томе"
"Томе Ѓоргиевски","Ѓорѓиевски Томе"
"Томе Ѓорѓиевски","Ѓорѓиевски Томе"
"Горгиевски Славчо","Ѓорѓијоски Славчо"
"Славчо Горгиоски","Ѓорѓијоски Славчо"
"Ѓуривски Златко","Ѓуровски Златко"
"Ѓуровски Злате","Ѓуровски Златко"
"Гуровски Златко","Ѓуровски Златко"
"Златко Ѓуровски","Ѓуровски Златко"
"Јакимоска Марина","Јакимовска Марина"
"Љубчо Јованов","Јованов Љубчо"
"Лупчо Јованов","Јованов Љубчо"
"Оливеер Јовановски","Јовановски Оливер"
"Оливер Јовановски","Јовановски Оливер"
"Оливер Јованоски","Јовановски Оливер"
"Јоки Арита","Љоки Арита"
"Арида Јоки","Љоки Арита"
"Арита Љоки","Љоки Арита"
"Арита Локи","Љоки Арита"
"Локи Арита","Љоки Арита"
"Џевалекива Марија","Џевалекова Марија"
"Марија Џевалекова","Џевалекова Марија"
"Амемети Ваљон","Амети Ваљон"
"Амети Валон","Амети Ваљон"
"Амети Ваљо","Амети Ваљон"
"Валон Амети","Амети Ваљон"
"Ваљон Амети","Амети Ваљон"
"Ангелобски Горан","Ангеловски Горан"
"Горан Ангеловски","Ангеловски Горан"
"Ангелески Илија","Анѓелковски Илија"
"Ангелковски Илија","Анѓелковски Илија"
"Анѓелсковски Илија","Анѓелковски Илија"
"Илија Ангелковски","Анѓелковски Илија"
"Илија Ангелкоски","Анѓелковски Илија"
"Илија Анѓелквски","Анѓелковски Илија"
"Илија Анѓелковски","Анѓелковски Илија"
"Асани Лумтурие","Асани Лумтурије"
"Дарко Атанасовки","Атанасовски Дарко"
"Аџулевски Диме","Аџулески Диме"
"Диме Аџуледки","Аџулески Диме"
"Диме Аџулески","Аџулески Диме"
"Димко Аџулески","Аџулески Диме"
"Африм Бајрами","Бајрами Африм"
"Африн Баирами","Бајрами Африм"
"Африн Бајрами","Бајрами Африм"
"Бајрами Африн","Бајрами Африм"
"Бајрами Зуриета","Бајрами Зуљета"
"Бајрами Зурјета","Бајрами Зуљета"
"Бајрами Зујрета","Бајрами Зуљета"
"Зуриета Бајрами","Бајрами Зуљета"
"Зурјета Бајрами","Бајрами Зуљета"
"Зујрета Бајрами","Бајрами Зуљета"
"Симе Бендевски","Бендевски Симе"
"Симе Бендески","Бендевски Симе"
"Јовица Блажевски","Блажевски Јовица"
"Јовица Блажески","Блажевски Јовица"
"Блажески Јовица","Блажевски Јовица"
"Блашевски Божидар","Блажевски Божидар"
"Блажич Владо","Блажиќ Владо"
"Бранко Богатинов","Богатинов Бранко"
"Бранко Богатиноив","Богатинов Бранко"
"Марија Бошевска","Бошеска Марија"
"Марија Бошеска","Бошеска Марија"
"Костадин Бојаѓиев","Бојаџиев Костадин"
"Костадин Бојаџиев","Бојаџиев Костадин"
"Јовица Велиновски","Велиновски Јовица"
"Јовица Велински","Велиновски Јовица"
"Велјановски Сашо","Велјановски Саше"
"Саше Велјановски","Велјановски Саше"
"Никола Гелевски","Гелевски Никола"
"Никола Гелески","Гелевски Никола"
"Никола Гилевски","Гелевски Никола"
"Ѓерасимовски Љубиша","Герасимовски Љубиша"
"Ѓерасимоски Љубиша","Герасимовски Љубиша"
"Љубиша Ѓерасимовски","Герасимовски Љубиша"
"Љубиша Герасимовски","Герасимовски Љубиша"
"Герасимовски Лубиша","Герасимовски Љубиша"
"Гудев Др Милан","Гудев Милан"
"Милан Гудев","Гудев Милан"
"Милан Др Гудев","Гудев Милан"
"Милан Др. Гудев","Гудев Милан"
"Вучески Ненад","Гуќески Ненад"
"Гуцески Ненад","Гуќески Ненад"
"Гучески Ненад","Гуќески Ненад"
"Ненад Вучески","Гуќески Ненад"
"Ненад Гуцески","Гуќески Ненад"
"Ненад Гучески","Гуќески Ненад"
"Ангела Данлева","Данчева Ангела"
"Ангела Данчева","Данчева Ангела"
"Драган Димевски","Димески Драган"
"Драган Димески","Димески Драган"
"Димевски Саше","Димески Саше"
"Димески Сашко","Димески Саше"
"Саше Димески","Димески Саше"
"Сашко Димески","Димески Саше"
"Љупчо Зафиров","Зафиров Љупчо"
"Зафиров Љупче","Зафиров Љупчо"
"Лупчо Зафиров","Зафиров Љупчо"
"Лупче Захариев","Захариев Љупче"
"Ѓорге Илиев","Илев Ѓорѓи"
"Ѓорги Илиев","Илев Ѓорѓи"
"Ѓорѓи Илиев","Илев Ѓорѓи"
"Горги Илев","Илев Ѓорѓи"
"Соте Илиоски","Илијоски Соте"
"Соте Илијоски","Илијоски Соте"
"Илјази Мерван","Иљази Мерван"
"Ѓура Коцев","Коцев Ѓуро"
"Ѓуро Коцев","Коцев Ѓуро"
"Коцев Гуро","Коцев Ѓуро"
"Кочев Ѓуро","Коцев Ѓуро"
"Драги Коцев","Коцев Драги"
"Кочев Драги","Коцев Драги"
"Крстов Сасо","Крстов Сашо"
"Крстов Сашко","Крстов Сашо"
"Крстов Сшко","Крстов Сашо"
"Сашко Крстов","Крстов Сашо"
"Сашо Крстов","Крстов Сашо"
"Сашокрстов","Крстов Сашо"
"Куçи Шпетим","Кучи Шпетим"
"Куии Шпетим","Кучи Шпетим"
"Куим Шпети","Кучи Шпетим"
"Куки Шпетим","Кучи Шпетим"
"Куци Шпетим","Кучи Шпетим"
"Кучи Шпетин","Кучи Шпетим"
"Куќи Шпети","Кучи Шпетим"
"Куќи Шпетим","Кучи Шпетим"
"Шпети Куим","Кучи Шпетим"
"Шпетим Куии","Кучи Шпетим"
"Шпетим Кучи","Кучи Шпетим"
"Шпетим Куçи","Кучи Шпетим"
"Шпетим Куци","Кучи Шпетим"
"Шпетим Куќи","Кучи Шпетим"
"Шптин Кучи","Кучи Шпетим"
"Кире Лазов","Лазов Кирил"
"Кирил Лазов","Лазов Кирил"
"Кирил1 Лазов","Лазов Кирил"
"Кире Матлиовски","Матлиовски Кире"
"Кире Матлиоски","Матлиовски Кире"
"Ардиан Мерко","Мерко Ардиан"
"Ардијан Мерко","Мерко Ардиан"
"Катерина Милевска","Милеска Катерина"
"Катерина Милеска","Милеска Катерина"
"Асим Мифтари","Мифтари Хасим"
"Мивтари Хасим","Мифтари Хасим"
"Миртари Хасим","Мифтари Хасим"
"Хасим Мивтари","Мифтари Хасим"
"Хасим Миртари","Мифтари Хасим"
"Хасим Мифтари","Мифтари Хасим"
"Наковславчо","Наков Славчо"
"Славчо Наков","Наков Славчо"
"Страше Наков","Наков Страшо"
"Страшо Наков","Наков Страшо"
"Горан Николич","Николиќ Горан"
"Горан Николиќ","Николиќ Горан"
"Горанниколич","Николиќ Горан"
"Николич Горан","Николиќ Горан"
"Никочиќ Горан","Николиќ Горан"
"Благојче Павловски","Павловски Благојче"
"Павлоски Благојче","Павловски Благојче"
"Жани Петанчески","Петанчески Жани"
"Жанипетанчески","Петанчески Жани"
"Петанчевски Жани","Петанчески Жани"
"Петанчеки Жани","Петанчески Жани"
"Ленце Пишоска","Пишовска Ленче"
"Ленче Пишовска","Пишовска Ленче"
"Љирим Рочи","Рочи Лирим"
"Лима Рочи","Рочи Лирим"
"Лири Љочи","Рочи Лирим"
"Лири Рочи","Рочи Лирим"
"Лирим Рожи","Рочи Лирим"
"Лирим Рочи","Рочи Лирим"
"Реќи Лирим","Рочи Лирим"
"Роци Лирим","Рочи Лирим"
"Рочи Љирим","Рочи Лирим"
"Рочи Блерим","Рочи Лирим"
"Блерим Ристеми","Рустеми Блерим"
"Блерим Рустеми","Рустеми Блерим"
"Владимир Серафимовски","Серафимовски Владимир"
"Владимир Серафимоски","Серафимовски Владимир"
"Серафимовсаки Владимир","Серафимовски Владимир"
"Серафимоски Владимир","Серафимовски Владимир"
"Синадиноска Сузана","Синадиновска Сузана"
"Сузана Синадиновска","Синадиновска Сузана"
"Сузана Синадиноска","Синадиновска Сузана"
"Боне Стефановски","Стефановски Боне"
"Боне Стефаноивски","Стефановски Боне"
"Валентин Стоилковиќ","Стоиљковиќ Валентин"
"Валентин Стоиловиќ","Стоиљковиќ Валентин"
"Валентин Стоиљкович","Стоиљковиќ Валентин"
"Стоилковиќ Валентин","Стоиљковиќ Валентин"
"Стоиловиќ Валентим","Стоиљковиќ Валентин"
"Стоиловиќ Валентин","Стоиљковиќ Валентин"
"Стоиљкович Валентин","Стоиљковиќ Валентин"
"Андре Стојанов","Стојанов Андреј"
"Андреј Стојанов","Стојанов Андреј"
"Петар Стојановски","Стојановски Петар"
"Петар Стојаноски","Стојановски Петар"
"Стојаноски Петар","Стојановски Петар"
"Симон Скојковски","Стојковски Симон"
"Симон Стојковски","Стојковски Симон"
"Симон Стојкоски","Стојковски Симон"
"Стојкобски Симон","Стојковски Симон"
"Тодоровски Наташа","Тодоровска Наташа"
"Александар Трајковски","Трајковски Александар"
"Трајковски Алекксандар","Трајковски Александар"
"Чанева Емилија Ѓоргиева","Чанева Емилија Ѓорѓиева"
"Валдет Шабани","Шабани Ваљдат"
"Шабани Валдет","Шабани Ваљдат"
"Седад Шабани","Шабани Седат"
"Шабани Седад","Шабани Седат"
"Анѓела Шеровска","Шеровска Анѓела"
"Шеровска Ангела","Шеровска Анѓела"
"Мати Шириќ","Шириќ Мато"
"Мато Шериќ","Шириќ Мато"
"Мато Ширич","Шириќ Мато"
"Мато Шириќ","Шириќ Мато"
"Мату Шириќ","Шириќ Мато"
"Шириќ Мату","Шириќ Мато"
"Кире Грбевски","Грбевски Кире"
"ЖФК ЉУБОТЕН","Љуботен"
"ЖФК КАМЕНИЦА САСА","Каменица Саса"
"ЖФК ТИВЕРИЈА БРЕРА АД","Брера Тиверија"
"ЖФК СКОПЈЕ 2014","Скопје 2014"
"ФК АСС УНИТЕД/ЖФК","АС Јунајтед"
"ЖФК СЦ ИСТАТОВ 2015","Истатов"
"Жфк Сц Истатов 2015 Скопје","Истатов"
"ЖФК СЦИСТАТОВ 2015 Скопје","Истатов"
"ЖФК КОЧАНИ","Кочани"
"ФК ТОП ГОЛ/ЖФК","Топ Гол"
"ЖФК Вардар 2023","Вардар"
"ЖФК БИЛЈАНИНИ ИЗВОРИ","Билјанини Извори"
"ЖФК РЕЧИЦА","Речица"
"ЖФК ШКЕНДИЈА Тетово","Шкендија"
"ЖФК ПОРЕЧЕ 2015","Порече"
"ФК АТЛЕТИКО/ЖФК","Атлетико"
"ЖФК ПЛАЧКОВИЦА","Плачковица"
"ЖФК ЦЕВИТАНА","Цевитана"
"ЖФК БОРЕЦ","Борец"
"ЖФК ПОБЕДА ВАЛАНДОВО","Победа 16"
"ЖФК ПОБЕДА ВАЛАНДОВО 16","Победа 16"
"ФК Слободен/ЖФК","Слободен"
"ЖФК ЏИ","Џи-Џи"
"ЖФК Фудбал Старс 2020","Фудбал Старс"
"ЖФК ТИКВЕШАНКИ СМ","Тиквешанки"
"ЖФК Башкими 2024","Башкими"
"ЖФК Ускана","Ускана"
"ЖФК МАШИНАЦ","Машинац"
"ФК КУЛ-ЗДРАВЈЕ/ЖФК","Кул-Здравје"
"ЖФК Шкупи 2019","Шкупи"
"Жфк Џи-џи","Џи-Џи"
"ЖФК ДЈИ-ДЈИ","Џи-Џи"
"Жфк Биљанини Извори 2010","Билјанини Извори"
"ЖФК КОНЗУЛИ ЈУНАЈТЕД","Конзули"
"Жфк Тетово 2017","Тетова 2017"
"Фк Башкими Љуботен/жфк","Башкими Љуботен"
"ЖФК Схкупи 2019","Шкупи"
"Црно Буки, Црно Буки","Игралиште во Црнобуки (Битола)"
"Фудбалски Терен Речица, С.речица Куманово","Стадион „Милутин Вељковиќ-Уча“ во Речица (Куманово)"
"Фудбалски Терен С. Доброшане, С. Доброшане","Фудбалски терен во Доброшане (Куманово)"
"Фудбалски Терен С. Речица Куманово,  С. Речица Куманово","Стадион „Милутин Вељковиќ-Уча“ во Речица (Куманово)"
"Фудбалско Игралиште Амс, Валандово","Терен АМС (Валандово)"
"Глобал Арена С.добридол, С.добридол, Врапчиште - Гостивар","Глобал Арена (Гостивар)"
"Градски Стадион   Велес, Велес","Градски стадион (Велес)"
"Градски Стадион  Македонска Каменица, Македонска Каменица","Градски стадион (Македонска Каменица)"
"Градски Стадион ?петар Милошевски? Битола, Битола","Градски стадион „Петар Милошевски“ (Битола)"
"Градски Стадион „филип Втори“виница, Виница","Градски стадион „Филип Втори“ (Виница)"
"Градски Стадион Гоце Делчев Делчево, Делчево","Градски стадион „Гоце Делчев“ (Делчево)"
"Градски Стадион Кочани, Кочани","Градски стадион „Никола Мантов“ (Кочани)"
"Градски Стадион Радовиш, Радовиш","Градски стадион (Радовиш)"
"Градски Стадион Струга, Струга","Градски стадион (Струга)"
"Градски Стадион Тетово, Тетово","Градски стадион (Тетово)"
"Градско Игралиште, Македонски Брод","Градско игралиште (Македонски Брод)"
"Игралиште  Во  С. Камењане, С. Камењане , Боговиње","Игралиште во Камењане (Боговиње)"
"Игралиште  Во  С. Желино, С. Желино","Игралиште (Желино)"
"Игралиште Брвеница, С. Брвеница - Брвеница","Игралиште во Брвеница (Тетово)"
"Игралиште Фк Влазними Струга, Струга","Стадион АС Јунајтед (Струга)"
"Игралиште Горни Подлог- Кочани, Горни Подлог","Игралиште во Горни Подлог (Кочани)"
"Игралиште Калница, Ваташа.кавадарци","Игралиште „Калница“ во Ваташа (Кавадарци)"
"Игралиште На Амс Кичево, Кичево","Терен на АМС (Кичево)"
"Игралиште На Амс Сц Тетово, Тетово","Терен на АМС (Тетово)"
"Игралиште Павел Шатев, Битола","Игралиште „Павел Шатев“ (Битола)"
"Игралиште С. Новаци, Новаци","Игралиште (Новаци)"
"Игралиште С.порој, Порој","Игралиште во Порој (Тетово)"
"Игралиште Сц.истатов-црничани, С.црничани-дојран","Игралиште „СЦ Истатов“ во Црничани (Дојран)"
"Игралиште Со Вештачка Трева, Прилеп","Игралиште со вештачка трева (Прилеп)"
"Игралиште Во Боговиње, С. Боговиње","Игралиште (Боговиње)"
"Игралиште Во Н.превалец Велес, Велес","Игралиште во Превалец (Велес)"
"Игралиште Во Населба Воска, Охрид","Игралиште „Воска“ (Охрид)"
"Игралиште Во С. Голема Речица , Тетово, С. Голема Речица , Тетово","Игралиште во Голема Речица (Тетово)"
"Игралиште Во С. Јегуновце, С. Јегуновце","Игралиште во Јегуновце (Тетово)"
"Игралиште Во С. Логоварди, С. Логоварди","Игралиште во Логоварди (Битола)"
"Игралиште Во С.кравари, Кравари","Игралиште во Кравари (Битола)"
"Игралиште Во С.подареш Радовиш, С.подареш","Игралиште во Подареш (Радовиш)"
"Општинско Фудбалско Игралиште Струмица, Струмица","Игралиште „Филип Лазаревски“ (Струмица)"
"Срц ,, Биљанини Извори,, - Охрид, Охрид","СРЦ „Билјанини Извори“ (Охрид)"
"Стадион „гоце Делчев“ Прилеп, Прилеп","Градски стадион „Гоце Делчев“ (Прилеп)"
"Стадион ""леска"" С.форино-гостивар, С.форино","Стадион „Леска“ (Форино, Гостивар)"
"Стадион „младост“ Струмица, Струмица","Стадион „Младост“ (Струмица)"
"Стадион Фк Влазрими, Кичево","Стадион Влазрими (Кичево)"
"Стадион С.чегране, Чегране","Стадион во Чегране (Гостивар)"
"Стадион С.неготино-полошко, С.неготино-полошко/гостивар","Стадион (Неготино Полошко, Гостивар)"
"Терен На Амс Жфк Асс Јунајтед, Струга","Стадион АС Јунајтед (Струга)"
"Терен Со Вештачка Трева Срц Биљанини Извори -охрид, Охрид","Терен со вештачка трева „СРЦ Билјанини Извори“ (Охрид)"
"Ффм- Терен На Фудбалска Федерација На Македонија, Скопје","Тренинг центар „Петар Милошевски“ (Аеродром, Скопје)"
"Фк„фортуна„, Скопје","Терен ФК Фортуна (Гази Баба, Скопје)"
"Игралиште  Во Драчево, Драчево-скопје","Игралиште „Циглана“ (Кисела Вода, Скопје)"
"Игралиште Циглана Драчево, Драчево-скопје","Игралиште „Циглана“ (Кисела Вода, Скопје)"
"Игралиште Горно Лисиче, Горно Лисиче","Игралиште (Аеродром, Скопје)"
"Игралиште Јован Мандаровски, Пржино - Скопје","Игралиште „Јован Мандаровски“ во Пржино (Кисела Вода, Скопје)"
"Стадион  Бутел, Н.бутел,скопје","Стадион Бутел (Бутел, Скопје)"
"Стадион „борис Трајковски“-маџари, Скопје, Скопје","Стадион „Борис Трајковски“ (Гази Баба, Скопје)"
"Стадион „фк Цементарница 55“-скопје, Скопје","Стадион Цементарница 55 (Кисела Вода, Скопје)"
"Стадион Ѓорче Петров, Скопје","Стадион Ѓорче Петров (Ѓорче Петров, Скопје)"
"Стадион С.бардовци, С.бардовци,скопје","Стадион (Карпош, Скопје)"
"Терен Фк„нова Колонија„, Нова Колонија, Скопје","Терен ФК Нова Колонија (Гази Баба, Скопје)"
"Глобал Арена С.добридол, С.добридол, Врапчиште - Гостивар","Глобал Арена (Гостивар)"
"Градски Стадион   Велес, Велес","Градски стадион (Велес)"
"Градски Стадион  Гумења, Крушево","Градски стадион „Гумења“ (Крушево)"
"Градски Стадион  Кавадарци, Кавадарци","Градски стадион (Кавадарци)"
"Градски Стадион  Крива Паланка, Крива Паланка","Градски стадион (Крива Паланка)"
"Градски Стадион  Македонска Каменица, Македонска Каменица","Градски стадион (Македонска Каменица)"
"Градски Стадион  Пробиштип, Пробиштип","Градски стадион (Пробиштип)"
"Градски Стадион - Берово, Берово","Градски стадион (Берово)"
"Градски Стадион ?петар Милошевски? Битола, Битола","Градски стадион „Петар Милошевски“ (Битола)"
"Градски Стадион „филип Втори“виница, Виница","Градски стадион „Филип Втори“ (Виница)"
"Градски Стадион Богданци, Богданци","Градски стадион (Богданци)"
"Градски Стадион Валандово, Валандово","Градски стадион (Валандово)"
"Градски Стадион Гевгелија, Гевгелија","Градски стадион (Гевгелија)"
"Градски Стадион Гостивар, Гостивар","Градски стадион (Гостивар)"
"Градски Стадион Гоце Делчев Делчево, Делчево","Градски стадион „Гоце Делчев“ (Делчево)"
"Градски Стадион Дебар, Дебар","Градски стадион (Дебар)"
"Градски Стадион Демир Хисар, Демир Хисар","Градски стадион (Демир Хисар)"
"Градски Стадион Кичево, Кичево","Градски стадион (Кичево)"
"Градски Стадион Кочани, Кочани","Градски стадион „Никола Мантов“ (Кочани)"
"Градски Стадион Куманово, Куманово","Градски стадион (Куманово)"
"Градски Стадион Мусала, Кратово","Градски стадион „Мусала“ (Кратово)"
"Градски Стадион Неготино, Неготино","Градски стадион (Неготино)"
