original,corregido
"Симјанова Елена","Симјонова Елена"
"Ѓорѓиоска Блажеска","Ѓорѓиоска Блажеска Јована"
"Гоја Тчеурј Харуми","Гоја Тчеури"
"Валбуена Новоа Паула Алехандра","Валбуена Паула"
"Михаела Гамарт","Гамарц Михаела"
"Видал Исаза Ингрид Јулиетх","Видал Ингрид"
"Охадиве Мариан Огочукву","Охадиве Мариан"
"Васкуез Марисса Ницоле","Васкез Мариса"
"Бермудез Карина Мичелле","Бермудез Карина"
"Ана Марија Змејкоска","Марија Змејкоска Ана"
"Фрагосо Туане Де Соуза","Фрагосо Туане"
"Панеска Биљана","Панеска Билјана"
"Иљаз Севим","Илјаз Севим"
"Копли Кешлин Џејн","Копли Кешлин"
"Станисављевска","Станисављевска Александра"
"Албукуеркуе Силва Де","Силва Летисија"
"Синани Сара","Мена Сара"
"ГЕОРГИЕВСКА ИВА","Георгиевска Ива"
"НОВЕВСКА ЕЛЕНА","Новевска Елена"
"ЈОШЕВСКА ТЕОДОРА","Јошевска Теодора"
"Аралампиевска","Аралампиевска Александра"
"Нитсцх Анида","Идризи Анида"
"Слободанка Костовска","Костовска Слободанка"
"Савович Анџела","Савовиќ Анѓела"
"Радевич Јелена","Радевиќ Јелена"
"Шаханска Роксана","Владимирова Роксана"
"Каменова Елена Антонова","Каменова Елена"
"Шварц Евелин Амабиле","Шварц Евелин"
"Апостолоска` Теодора","Апостолоска Теодора"
"Ваљак - Неделковска","Ваљак-Неделковска Валерија"
"Меијер Симона-Ребека","Меијер Симона"
"Алвес Де Са Сантос Јессица Тхајнара","Тајнара Џесика"
"Да Силва Рајане Калито","Каликсто Рајане"
"Куирос Кархуатанта Најели","Кироз Најели"
"Тарантино Гилхермино","Тарантино Беатриз"
"Стркалј Анамариа Наталие","Штркаљ Натали"
"Моисе Лаурие-Анн","Моис Лори-Ан"
"Велевачкоска Ана Марија","Марија Велевачкоска Ана"
"Касамовска Ана-марија","Касамовска Ана-Марија"
"Касамовска Ана-Марија","Касамовска Ана-Марија"
"Ана Марија Касамовска","Касамовска Ана-Марија"
"Анамарија Касамовска","Касамовска Ана-Марија"
"Касамовска Ана Марија","Касамовска Ана-Марија"
"Анѓелова Ана Марија","Марија Анѓелова Ана"
"Богоевска Ана Марија","Марија Богоевска Ана"
"Велевска Ана Марија","Марија Велевска Ана"
"Камчева Ана Марија","Марија Камчева Ана"
"Николовска Ана Марија","Марија Николовска Ана"
"Цветкоска Ана Марија","Марија Цветкоска Ана"
"Димитриоска Сара Слободанка","Димитриоски Сара"
"Димитриоска Мелиса Милица","Димитриоски Мелиса"
"Присцила Едите Силва","Едитe Присцила"
"Кочанковска Илиева","Анастасија Илиева Кочанковска"
"Нитсч Анида","Идризи Анида"
"Алваренга Диас Вицториа Тхалита","Талита Викторија"
"Алвес Габриел Јоелма","Алвес Јоелма"
"Гомес Фариас Таила","Фариас Таила"
"Соклевска Илиевски Елена","Соклевска Илиевски Елена"
"Спиркоска Тофилоска Весна","Спиркоска Тофилоска Весна"
"Соклевска Илиевски Елена","Соклевска Илиевски Елена"
"Спиркоска Тофилоска Весна","Спиркоска Тофилоска Весна"
"Алваренга Диас Вицториа Тхалита","Диас Талита"
"Алвес Габриел Јоелма","Алвес Јоелма"
"Алвес Де Са Сантос Јессица Тхајнара","Сантос Џесика"
"Ана Марија Змејкоска","Марија Змејкоска Ана"
"Анѓелова Ана Марија","Марија Анѓелова Ана"
"Бермудез Карина Мичелле","Бермудез Карина"
"Богоевска Ана Марија","Марија Богоевска Ана"
"Валбуена Новоа Паула Алехандра","Валбуена Паула"
"Васкуез Марисса Ницоле","Васкез Мариса"
"Велевачкоска Ана Марија","Марија Велевачкоска Ана"
"Велевска Ана Марија","Марија Велевска Ана"
"Видал Исаза Ингрид Јулиетх","Видал Ингрид"
"Гомес Фариас Таила","Фариас Таила"
"Ѓорѓиоска Блажеска Јована","Ѓорѓиоска Блажеска Јована"
"Гхоуанси Тчуиссе Мичелле","Чуисе Мишел"
"Де Оливеира Силва Иванеиде","Силва Иванеиде"
"Де Фреитас Азеведо Јосеане","Азеведо Жозеане"
"Делгадо Бенедито Мајса","Делгадо Мајса"
"Досуму Адебиси Адетаун","Досуму Адетаун"
"Едите Силва Присцила","Силва Присила"
"Елизабет Уолкер Алис","Вокер Алис"
"Зврлевска Јана Љуба","Љуба Зврлевска Јана"
"Икеда Ангелика Кеона","Икеда Кеона"
"Илиева Кочанковска Анастасија","Илиева Кочанковска Анастасија"
"Јацобс Киа Јие","Џејкобс Киа"
"Јованова Ана Марија","Марија Јованова Ана"
"Камчева Ана Марија","Марија Камчева Ана"
"Коплеј Цешлин Јане","Копли Сешлин"
"Куироз Цархуатанта Најели Офелиа","Кироз Најели"
"Леонел Маргуне Јулиана","Леонел Жулијана"
"Лизкано Паез Јолеидис Мариа","Лискано Јолеидис"
"Меијер Таиса Марија","Мејер Таиса"
"Мораес Биспо Татиане","Мораес Татијане"
"Наталиа Луана Оливеира Силва","Оливејра Наталија"
"Николовска Ана Марија","Марија Николовска Ана"
"Охадиве Марјан Огочукву","Охадиве Марјан"
"Родригез Еспиноза Карен Алејандра","Родригез Алехандра"
"Силва Де Албукуеркуе Летициа","Албукерке Летиција"
"Стркаљ Наталие Анамариа","Штркал Натали"
"Счварз Евелјн Амабиле","Шварц Евелин"
"Тарантино Гуилхермино Салино Анна Беатриз","Тарантино Ана"
"Фереира Да Силва Рената Бруна","Силва Рената"
"Цаликсто Да Силва Рајане","Каликсто Рајане"
"Цармо Мартинс Рафаелла","Мартинс Рафаела"
"Чицк Пејтон Тајлор","Чик Пејтон"
"Шаханска Роксана Владимирова","Владимирова Шаханска Роксана"
"Бошковска Спасовска Ивона","Бошковска Спасовска Ивона"
"Чопелоска -митреска Жане","Чопелоска-Митреска Жане"
"Гиченко Јовановски Ивана","Гиченко Јовановски Ивана"
"Ѓорѓиоска Блажеска Јована","Ѓорѓиоска Блажеска Јована"
"Ваљак - Неделковска Валерија","Ваљак-Неделковска Валерија"
"Александар Ристов, Драги Коцев","Ристов Александар, Коцев Драги"
"Ана Марија Касамовска","Марија Касамовска Ана"
"Афвалдет Шабанирим Бајрами","Шабанирим Бајрами Афвалдет"
"Благојче Павловски, Данчева Ангела","Павловски Благојче"
"Блажески Јовица Милеска Катерина","Блажески Јовица"
"Блажески Јовица, Катерина Милеска","Блажески Јовица"
"Велјановски Горан,Матлиевски Кире","Велјановски Горан"
"Александар Ристов, Драги Коцев","Александар Ристов"
