mk,sq,es,en
Младинска Женска Фудбалска Лига 24/25,Liga e të Rejave 24/25,Liga Femenina Juvenil 24/25,Women's Youth League 24/25
Младинска Женска Фудбалска Лига 25/26,Liga e të Rejave 25/26,Liga Femenina Juvenil 25/26,Women's Youth League 25/26
Кадетска Женска Фудбалска Лига 18/19,Liga e Kadeteve 18/19,Liga Femenina Cadete 18/19,Women's Cadet League 18/19
Кадетска Женска Фудбалска Лига 19/20,Liga e Kadeteve 19/20,Liga Femenina Cadete 19/20,Women's Cadet League 19/20
Кадетска Женска Фудбалска Лига 20/21,Liga e Kadeteve 20/21,Liga Femenina Cadete 20/21,Women's Cadet League 20/21
Кадетска Женска Фудбалска Лига 21/22,Liga e Kadeteve 21/22,Liga Femenina Cadete 21/22,Women's Cadet League 21/22
Кадетска Женска Фудбалска Лига 22/23,Liga e Kadeteve 22/23,Liga Femenina Cadete 22/23,Women's Cadet League 22/23
Кадетска Женска Фудбалска Лига 23/24,Liga e Kadeteve 23/24,Liga Femenina Cadete 23/24,Women's Cadet League 23/24
Кадетска Женска Фудбалска Лига 24/25,Liga e Kadeteve 24/25,Liga Femenina Cadete 24/25,Women's Cadet League 24/25
Кадетска Женска Фудбалска Лига 25/26,Liga e Kadeteve 25/26,Liga Femenina Cadete 25/26,Women's Cadet League 25/26
