start	end	comp
9901066	9901066	2019 European Women's Under-19 Championship - Qualifying
9901090	9901090	2019 European Women's Under-19 Championship - Qualifying
9901106	9901106	2019 European Women's Under-19 Championship - Qualifying
9901874	9901874	2018 European Women's Under-19 Championship - Qualifying
9901898	9901898	2018 European Women's Under-19 Championship - Qualifying
9901914	9901914	2018 European Women's Under-19 Championship - Qualifying
9902428	9902428	2017 European Women's Under-19 Championship - Qualifying
9902452	9902452	2017 European Women's Under-19 Championship - Qualifying
9902468	9902468	2017 European Women's Under-19 Championship - Qualifying
9902764	9902764	2016 European Women's Under-19 Championship - Qualifying
9902788	9902788	2016 European Women's Under-19 Championship - Qualifying
9902804	9902804	2016 European Women's Under-19 Championship - Qualifying
9903274	9903274	2015 European Women's Under-19 Championship - Qualifying
9903282	9903282	2015 European Women's Under-19 Championship - Qualifying
9903306	9903306	2015 European Women's Under-19 Championship - Qualifying
9903771	9903771	2014 European Women's Under-19 Championship - Qualifying
9903795	9903795	2014 European Women's Under-19 Championship - Qualifying
9903811	9903811	2014 European Women's Under-19 Championship - Qualifying
9903842	9903842	2008 European Women's Under-17 Championship - First
9903866	9903866	2008 European Women's Under-17 Championship - First
9903882	9903882	2008 European Women's Under-17 Championship - First
9904218	9904218	2013 European Women's Under-19 Championship - First
9904226	9904226	2013 European Women's Under-19 Championship - First
9904250	9904250	2013 European Women's Under-19 Championship - First
9904691	9904691	2012 European Women's Under-19 Championship - First
9904764	9904764	2012 European Women's Under-19 Championship - First
9904780	9904780	2012 European Women's Under-19 Championship - First
9905171	9905171	2011 European Women's Under-19 Championship - First
9905195	9905195	2011 European Women's Under-19 Championship - First
9905211	9905211	2011 European Women's Under-19 Championship - First
9905504	9905504	2010 European Women's Under-19 Championship - Final
9905512	9905512	2010 European Women's Under-19 Championship - Final
9905528	9905528	2010 European Women's Under-19 Championship - Final
9905872	9905872	2009 European Women's Under-19 Championship - First
9905896	9905896	2009 European Women's Under-19 Championship - First
9905912	9905912	2009 European Women's Under-19 Championship - First
9906190	9906190	2008 European Women's Under-19 Championship - First
9906214	9906214	2008 European Women's Under-19 Championship - First
9906230	9906230	2008 European Women's Under-19 Championship - First
9906725	9906725	2007 European Women's Under-19 Championship - First
9906749	9906749	2007 European Women's Under-19 Championship - First
9906765	9906765	2007 European Women's Under-19 Championship - First
9907036	9907036	2006 European Women's Under-19 Championship - First
9907060	9907060	2006 European Women's Under-19 Championship - First
9907076	9907076	2006 European Women's Under-19 Championship - First
9907403	9907403	2005 European Women's Under-19 Championship - First
9907411	9907411	2005 European Women's Under-19 Championship - First
9907437	9907437	2005 European Women's Under-19 Championship - First
9907840	9907840	2004 European Women's Under-19 Championship - First
9907856	9907856	2004 European Women's Under-19 Championship - First
9907864	9907864	2004 European Women's Under-19 Championship - First
9908491	9908491	2009 European Women's Under-17 Championship - First
9908515	9908515	2009 European Women's Under-17 Championship - First
9908531	9908531	2009 European Women's Under-17 Championship - First
9908612	9908612	2020 European Women's Under-17 Championship - Qualifying
9908636	9908636	2020 European Women's Under-17 Championship - Qualifying
9908644	9908644	2020 European Women's Under-17 Championship - Qualifying
9909077	9909077	2019 European Women's Under-17 Championship - Qualifying
9909093	9909093	2019 European Women's Under-17 Championship - Qualifying
9909109	9909109	2019 European Women's Under-17 Championship - Qualifying
9909797	9909797	2010 European Women's Under-17 Championship - First
9909805	9909805	2010 European Women's Under-17 Championship - First
9909829	9909829	2010 European Women's Under-17 Championship - First
9909907	9909907	2018 European Women's Under-17 Championship - Qualifying
9909931	9909931	2018 European Women's Under-17 Championship - Qualifying
9909947	9909947	2018 European Women's Under-17 Championship - Qualifying
9910615	9910615	2017 European Women's Under-17 Championship - Qualifying
9910639	9910639	2017 European Women's Under-17 Championship - Qualifying
9910655	9910655	2017 European Women's Under-17 Championship - Qualifying
9911034	9911034	2016 European Women's Under-17 Championship - Qualifying
9911042	9911042	2016 European Women's Under-17 Championship - Qualifying
9911066	9911066	2016 European Women's Under-17 Championship - Qualifying
9911964	9911964	2015 European Women's Under-17 Championship - Qualifying
9911988	9911988	2015 European Women's Under-17 Championship - Qualifying
9912004	9912004	2015 European Women's Under-17 Championship - Qualifying
9912234	9912234	2012 European Women's Under-17 Championship - First
9912242	9912242	2012 European Women's Under-17 Championship - First
9912266	9912266	2012 European Women's Under-17 Championship - First
9912558	9912558	2014 European Women's Under-17 Championship - Qualifying
9912566	9912566	2014 European Women's Under-17 Championship - Qualifying
9912590	9912590	2014 European Women's Under-17 Championship - Qualifying
9912958	9912958	2013 European Women's Under-17 Championship - First
9912982	9912982	2013 European Women's Under-17 Championship - First
9912998	9912998	2013 European Women's Under-17 Championship - First
9913698	9913698	2011 FIFA Women's World Cup - Qualifying round group stage
9913714	9913714	2011 FIFA Women's World Cup - Qualifying round group stage
9913730	9913730	2011 FIFA Women's World Cup - Qualifying round group stage
9913746	9913746	2011 FIFA Women's World Cup - Qualifying round group stage
9913788	9913788	2011 FIFA Women's World Cup - Qualifying round group stage
9913796	9913796	2011 FIFA Women's World Cup - Qualifying round group stage
9913871	9913871	2011 FIFA Women's World Cup - Qualifying round group stage
9913911	9913911	2011 FIFA Women's World Cup - Qualifying round group stage
9915010	9915010	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915034	9915034	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915050	9915050	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915098	9915098	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915114	9915114	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915146	9915146	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915170	9915170	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915178	9915178	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915202	9915202	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9915226	9915226	2015 FIFA Women's World Cup - FIFA Women’s World Cup
9940529	9940529	Пријателски натпревар
9940711	9940711	Пријателски натпревар
9940993	9940993	Пријателски натпревар
9941380	9941380	Пријателски натпревар
9946048	9946048	Пријателски натпревар
9950204	9950207	Прва ЖФЛ 25/26
9950209	9950318	Прва ЖФЛ 25/26
10025879	10025879	Прва ЖФЛ 25/26
10057555	10057584	Втора ЖФЛ 25/26
10058014	10058079	Младинска Женска Фудбалска Лига 25/26
10058081	10058082	Младинска Женска Фудбалска Лига 25/26
10058084	10058084	Младинска Женска Фудбалска Лига 25/26
10058087	10058089	Младинска Женска Фудбалска Лига 25/26
10058091	10058091	Младинска Женска Фудбалска Лига 25/26
10058093	10058097	Младинска Женска Фудбалска Лига 25/26
10058099	10058103	Младинска Женска Фудбалска Лига 25/26
10058105	10058109	Младинска Женска Фудбалска Лига 25/26
10058111	10058115	Младинска Женска Фудбалска Лига 25/26
10058117	10058121	Младинска Женска Фудбалска Лига 25/26
10058123	10058127	Младинска Женска Фудбалска Лига 25/26
10058888	10058953	Кадетска Женска Фудбалска Лига 25/26
10058955	10058956	Кадетска Женска Фудбалска Лига 25/26
10058958	10058959	Кадетска Женска Фудбалска Лига 25/26
10058961	10058971	Кадетска Женска Фудбалска Лига 25/26
10058973	10058985	Кадетска Женска Фудбалска Лига 25/26
10058987	10059001	Кадетска Женска Фудбалска Лига 25/26
10265538	10265551	КУП на РМ за Жени 25/26
10444376	10444376	Пријателски натпревар
10449192	10449192	Пријателски натпревар - Фудбал - Женски - U-19
10464259	10464259	2026 European Women's Under-17 Championship - Round 1 -
10464275	10464275	2026 European Women's Under-17 Championship - Round 1 -
10464291	10464291	2026 European Women's Under-17 Championship - Round 1 -
10465131	10465131	Пријателски натпревар
10465781	10465781	Пријателски натпревар - Фудбал - Женски - U-19
