9942607,9942804
9967733,9967972
10063646,10063827
10062366,10062547
10048050,10048159
10089809,10089941
10091074,10091163
9962490,9962729
10337283,10337312
9963757,9963996
10267563,10267618
10099160,10099243
10099736,10099819
11101155,11101182
10135498,10135539
10141378,10141509
10190696,10190737
10238652,10238654
10232347,10232376
10266722,10266724
10093822,10093953
10101588,10101659
10171128,10171183
9979742,9979876
9980474,9980608
9965023,9965262
9981199,9981333
10044993,10045055
10044260,10044322
9966272,9966511
9981923,9982057
10045355,10045417
10044626,10044688
10128471,10128542
10126328,10126437
10144111,10144194
10129686,10129768
10130195,10130278
10130658,10130717
10131004,10131087
10131465,10131536
10131871,10131954
10132335,10132406
10328607,10328621
10328834,10328848
10329042,10329056
10328924,10328938
10139363,10139377
9947387,9947400
9586697,9586702
9694346,9694351
10065167,10065222
10138559,10138565
10139121,10139127
10138855,10138861
10211715,10211770
10126941,10127050
10128874,10128945
9771785,9771785
9773515,9773517
8305553,8305700
8309373,8309612
8332861,8332992
8333581,8333712
8334303,8334434
8335034,8335165
8349042,8349071
